"TYPE_CODE","MANUFACTURER","MODEL","ENGINE_TYPE"
"J328","328 SUPPORT SERVICES","Dornier 328JET","Jet"
"UL45","3XTRIM","450 Ultra","Piston"
"UL45","3XTRIM","Ultra","Piston"
"TR55","3XTRIM","550 Trener","Piston"
"TR55","3XTRIM","Trener  ","Piston"
"UL45","3XTRIM","3X-47 Ultra","Piston"
"TR55","3XTRIM","3X-55 Trener","Piston"
"TR55","3XTRIM","3X-LS Navigator 600","Piston"
"TR55","3XTRIM","Navigator 600","Piston"
"ELSP","A2 CZ","Ellipse Spirit","Piston"
"CE22","A-41","VNS-41","Piston"
"PETR","AAC","SeaStar","Piston"
"BMAN","AAK","Bushman","Piston"
"HRNT","AAK","Hornet","Piston"
"WSP","AAK","Wasp","Piston"
"FMGO","AAK","Flamingo","Piston"
"A9","AAMSA","A-9 Quail","Piston"
"A9","AAMSA","Quail","Piston"
"JCRU","AASI","Jetcruzer","Turboprop/Turboshaft"
"GAZL","ABHCO","Gazelle","Turboprop/Turboshaft"
"GAZL","ABHCO","SA-342 Gazelle","Turboprop/Turboshaft"
"RF9","ABS","RF-9","Piston"
"XNON","ABS AEROLIGHT","Xenon","Piston"
"MIDR","ACBA","ACBA-8 Midour 2","Piston"
"MIDR","ACBA","Midour 2","Piston"
"JACE","ACE","Junior Ace","Piston"
"SACE","ACE","Super Ace","Piston"
"ARKS","ACEAIR","A-200 Aeriks 200","Piston"
"ARKS","ACEAIR","A-200 Aeris 200","Piston"
"ARKS","ACEAIR","Aeriks 200","Piston"
"ARKS","ACEAIR","Aeris 200","Piston"
"CUB2","ACES HIGH","Cuby 2","Piston"
"ACRO","ACRO SPORT","Acro-Sport 1","Piston"
"ACR2","ACRO SPORT","Acro-Sport 2","Piston"
"COUG","ACRO SPORT","Cougar","Piston"
"JACE","ACRO SPORT","Junior Ace","Piston"
"SACE","ACRO SPORT","Super Ace","Piston"
"ACRO","ACRO SPORT","Super Acro-Sport","Piston"
"SORA","ACS (1)","ACS-100 Sora","Piston"
"SORA","ACS (1)","Sora","Piston"
"J600","ACS (2)","Skyleader 600","Piston"
